codigo descripcion existencia maximo costo precio venta
1 Coca_lata 15 20 300 500 4500
2 Coca_lata_light 15 20 300 500 4500
3 Coca_desechable 15 20 300 500 4500
4 Fanta_lata 15 20 300 500 4500
5 Coca_desechable 15 20 300 500 4500
6 Pepsi_lata 15 20 300 500 4500
7 Pesi_desechable 15 20 300 500 4500
8 Gin_lata 15 20 300 500 4500
9 Coca_desechable 15 20 300 500 4500
10 Freco_leche 15 20 300 500 4500
11 Galleta_Chiki 12 35 250 500 6000
12 Pinguino 10 30 250 500 6000
13 Platanitos_verdes 11 35 250 500 6500
14 Platanitos_maduros 10 30 250 500 6000
15 Takis 20 30 300 500 2000
16 Pinguino 15 20 600 1000 3000
